# Output type: block-level,,,,,,,,,,
# Input files: 0001,,,,,,,,,,
# Target depth: 1,,,,,,,,,,
# Num files: 4,,,,,,,,,,
# Num directories: 1,,,,,,,,,,
# Num Blocks: 10,,,,,,,,,,
F,0,MF_10000000,0,3,0,1024,10,1024,14,1024
F,1,MF_11111111,0,2,1,1024,11,1024,15,1024
F,2,MF_22222222,0,2,2,1024,12,1024,,
F,3,MF_3333333,0,2,3,1024,13,1024,,
B,0,10000000,1,0,,,,,,
B,1,11111111,1,1,,,,,,
B,2,22222222,1,2,,,,,,
B,3,33333333,1,3,,,,,,
B,10,000000010,1,0,,,,,,
B,11,000000011,1,1,,,,,,
B,12,000000012,1,2,,,,,,
B,13,000000013,1,3,,,,,,
B,14,000000014,1,0,,,,,,
B,15,000000015,1,1,,,,,,
